telep,osszesvalaszto,megjelent,ervenyesegyeni,megjelent%,ervenyesegyeni%,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,ervenyeslista,ervenyeslista%,DK-JOBBIK-MOMENTUM-MSZP-LMP-PÁRBESZÉD,NORMÁLIS PÁRT,MKKP,MEMO,MI HAZÁNK,FIDESZ-KDNP,teltipus
Bazsi,351,222,216,63.25,61.54,123,74,8,6,,,,5,,,,,,,218,62.11,58,2,5,3,23,127,Falu
Béb,197,145,143,73.6,72.59,106,29,1,,,,7,,,,,,,,142,72.08,22,,1,,8,88,Falu
Becsehely,1621,1097,1086,67.67,67,601,364,18,15,6,6,76,,,,,,,,1088,67.12,340,7,22,14,93,607,Falu
Becske,436,297,292,68.12,66.97,164,43,11,3,1,1,69,,,,,,,,292,66.97,54,,11,1,35,191,Falu
Becskeháza,26,25,24,96.15,92.31,13,9,1,,,,1,,,,,,,,24,92.31,9,,1,,1,13,Falu
Becsvölgye,625,426,420,68.16,67.2,266,100,10,4,,6,28,3,,3,,,,,419,67.04,111,5,9,4,28,262,Falu
Bedegkér,302,156,152,51.66,50.33,124,26,,1,1,,,,,,,,,,156,51.66,25,,2,1,6,121,Falu
Bedő,307,178,174,57.98,56.68,149,13,,,,2,1,9,,,,,,,174,56.68,13,1,3,1,7,146,Falu
Bejcgyertyános,359,254,251,70.75,69.92,194,39,,2,,,16,,,,,,,,254,70.75,32,,2,3,16,201,Falu
Békás,173,116,116,67.05,67.05,94,18,1,,,,3,,,,,,,,116,67.05,18,,3,,3,92,Falu
Bekecs,1969,1374,1358,69.78,68.97,828,493,,17,1,9,,10,,,,,,,1358,68.97,491,10,27,18,75,737,Falu
Békés,16937,11661,11472,68.85,67.73,6524,3125,256,140,,81,1346,,,,,,,,11529,68.07,3284,85,308,125,1015,6672,Középváros
Békéscsaba,48386,35101,34595,72.54,71.5,15840,14576,899,314,,291,2347,328,,,,,,,34510,71.32,14307,371,1166,417,2650,15452,Nagyváros
Békéssámson,1850,1178,1162,63.68,62.81,723,306,16,5,6,3,99,4,,,,,,,1163,62.86,314,5,19,5,127,692,Falu
Békésszentandrás,2909,2032,1999,69.85,68.72,1068,645,65,21,,27,173,,,,,,,,2021,69.47,673,29,70,22,178,1043,Falu
Bekölce,510,306,302,60,59.22,209,59,,3,,,26,5,,,,,,,303,59.41,66,4,6,1,21,205,Falu
Bélapátfalva,2197,1408,1392,64.09,63.36,844,403,,14,,,85,46,,,,,,,1391,63.31,422,9,31,11,98,820,Falu
Bélavár,278,192,190,69.06,68.35,133,52,,,,,5,,,,,,,,188,67.63,46,1,3,,6,132,Falu
Belecska,203,155,151,76.35,74.38,90,42,,1,,1,17,,,,,,,,153,75.37,47,,1,1,14,90,Falu
Beled,2072,1524,1508,73.55,72.78,1066,358,,8,,,71,,,,,5,,,1502,72.49,365,9,28,12,79,1009,Falu
Beleg,404,267,264,66.09,65.35,191,64,,2,,,7,,,,,,,,265,65.59,57,,,2,8,198,Falu
Belezna,572,357,351,62.41,61.36,225,100,2,4,1,2,17,,,,,,,,352,61.54,96,1,6,2,26,221,Falu
Bélmegyer,741,501,490,67.61,66.13,309,116,5,6,3,2,49,,,,,,,,495,66.8,112,3,2,4,57,317,Falu
Beloiannisz,870,603,578,69.31,66.44,351,160,19,17,3,,28,,,,,,,,584,67.13,171,8,16,22,23,330,Falu
Belsősárd,82,62,60,75.61,73.17,42,12,1,,,2,3,,,,,,,,61,74.39,12,1,,1,4,43,Falu
Belvárdgyula,313,197,196,62.94,62.62,141,42,,1,,,12,,,,,,,,196,62.62,39,2,5,,15,133,Falu
Benk,363,245,242,67.49,66.67,144,86,,,,1,11,,,,,,,,240,66.12,70,1,1,,9,159,Falu
Bénye,997,728,716,73.02,71.82,457,172,16,14,,,57,,,,,,,,719,72.12,184,6,19,13,61,436,Falu
Bér,286,209,205,73.08,71.68,155,39,1,1,,,9,,,,,,,,208,72.73,36,,4,1,9,157,Falu
Bérbaltavár,378,231,226,61.11,59.79,174,40,,2,,,10,,,,,,,,227,60.05,38,1,3,2,13,170,Falu
Bercel,1324,945,942,71.37,71.15,607,172,20,10,3,2,128,,,,,,,,941,71.07,194,3,20,8,94,621,Falu
Beregdaróc,721,425,414,58.95,57.42,294,101,,1,,1,12,,,5,,,,,417,57.84,81,,6,,14,316,Falu
Beregsurány,639,372,358,58.22,56.03,275,71,,6,,1,4,,,1,,,,,359,56.18,65,2,2,4,6,280,Falu
Berekböszörmény,1481,763,748,51.52,50.51,585,108,,3,1,3,27,21,,,,,,,755,50.98,106,6,4,4,35,600,Falu
Berekfürdő,1045,724,717,69.28,68.61,411,264,,6,4,,32,,,,,,,,717,68.61,222,3,16,8,49,419,Falu
Beremend,1912,1262,1247,66,65.22,661,505,,27,11,,43,,,,,,,,1239,64.8,470,3,24,19,50,666,Falu
Berente,874,489,465,55.95,53.2,214,179,18,4,,3,47,,,,,,,,477,54.58,164,6,24,6,50,227,Falu
Beret,211,132,131,62.56,62.09,117,12,,,,1,1,,,,,,,,130,61.61,14,1,,,,115,Falu
Berettyóújfalu,13011,9094,8961,69.89,68.87,4133,3008,,70,17,56,419,1258,,,,,,,9009,69.24,3046,88,233,90,595,4957,Kisváros
Berhida,4499,2633,2588,58.52,57.52,1538,705,66,42,,18,219,,,,,,,,2595,57.68,702,23,77,26,228,1526,Kisváros
Berkenye,551,417,412,75.68,74.77,265,86,5,9,,4,43,,,,,,,,410,74.41,74,3,13,9,22,199,Falu
Berkesd,636,428,416,67.3,65.41,276,93,17,4,,1,24,1,,,,,,,417,65.57,109,1,15,4,19,251,Falu
Berkesz,596,436,435,73.15,72.99,309,108,,2,1,,15,,,,,,,,433,72.65,109,,5,5,15,299,Falu
Bernecebaráti,641,441,440,68.8,68.64,301,83,10,6,1,1,38,,,,,,,,440,68.64,84,1,9,6,39,301,Falu
Berzék,763,503,491,65.92,64.35,376,80,11,1,2,2,14,5,,,,,,,494,64.74,92,4,9,6,23,360,Falu
Berzence,1842,1170,1160,63.52,62.98,779,324,,7,,,50,,,,,,,,1160,62.98,281,9,21,6,61,782,Falu
Besence,87,50,50,57.47,57.47,38,7,2,,,,3,,,,,,,,50,57.47,9,1,2,,1,37,Falu
Besenyőd,551,354,344,64.25,62.43,272,45,,4,,,23,,,,,,,,344,62.43,47,2,4,,16,275,Falu
Besenyőtelek,2066,1225,1204,59.29,58.28,808,306,21,8,,5,56,,,,,,,,1215,58.81,306,3,21,9,62,813,Falu
Besenyőtelek,2066,1225,1204,59.29,58.28,808,306,21,8,,5,56,,,,,,,,1215,58.81,306,3,21,9,62,813,Falu
Besenyszög,2618,1778,1717,67.91,65.58,956,538,48,16,9,14,124,,,,,,,12,1731,66.12,538,17,54,14,147,961,Falu
Besnyő,1462,993,978,67.92,66.89,572,268,42,27,5,,64,,,,,,,,984,67.31,282,7,35,24,67,569,Falu
Beszterec,760,402,398,52.89,52.37,296,69,,7,1,4,21,,,,,,,,400,52.63,75,6,1,3,17,298,Falu
Bezedek,172,115,94,66.86,54.65,80,12,,,,,2,,,,,,,,98,56.98,,,,,,74,Falu
Bezenye,908,703,692,77.42,76.21,526,120,10,8,,4,24,,,,,,,,688,75.77,120,3,16,2,19,459,Falu
Bezeréd,109,88,88,80.73,80.73,57,19,3,,,2,7,,,,,,,,87,79.82,16,1,6,,7,57,Falu
Bezi,391,296,294,75.7,75.19,190,69,,4,,,30,,,,,1,,,293,74.94,61,3,9,2,21,190,Falu
Biatorbágy,10563,8230,8156,77.91,77.21,4014,3398,247,104,,43,350,,,,,,,,8128,76.95,3138,35,410,112,419,3882,Kisváros
Bicsérd,812,531,519,65.39,63.92,303,151,16,3,,,32,14,,,,,,,527,64.9,158,3,19,3,30,314,Falu
