telep,osszesvalaszto,megjelent,ervenyesegyeni,megjelent%,ervenyesegyeni%,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,ervenyeslista,ervenyeslista%,DK-JOBBIK-MOMENTUM-MSZP-LMP-PÁRBESZÉD,NORMÁLIS PÁRT,MKKP,MEMO,MI HAZÁNK,FIDESZ-KDNP,teltipus
Bicske,10908,8238,8138,75.52,74.61,4312,2969,310,88,22,,437,,,,,,,,8146,74.68,2875,36,362,81,442,4297,Kisváros
Bihardancsháza,148,108,105,72.97,70.95,66,13,,3,,1,3,19,,,,,,,104,70.27,16,1,,5,5,77,Falu
Biharkeresztes,3613,2149,2091,59.48,57.87,1333,539,,4,4,23,87,101,,,,,,,2109,58.37,484,25,26,9,124,1436,Falu
Biharnagybajom,1938,1062,1033,54.8,53.3,655,207,,6,5,5,83,72,,,,,,,1047,54.02,232,5,17,8,70,715,Falu
Bihartorda,743,431,420,58.01,56.53,252,90,,2,2,2,27,45,,,,,,,424,57.07,103,2,4,3,32,280,Falu
Biharugra,711,511,505,71.87,71.03,368,116,3,,3,,15,,,,,,,,506,71.17,112,1,4,,20,369,Falu
Bikács,350,228,222,65.14,63.43,163,24,,4,,16,15,,,,,,,,225,64.29,29,16,,3,16,159,Falu
Bikal,561,383,375,68.27,66.84,156,189,,9,1,,20,,,,,,,,373,66.49,155,,15,,26,148,Falu
Biri,1087,671,661,61.73,60.81,389,210,7,10,,9,36,,,,,,,,662,60.9,206,13,9,9,34,391,Falu
Birján,424,302,298,71.23,70.28,158,109,,5,3,,23,,,,,,,,298,70.28,98,2,7,5,18,137,Falu
Bisse,193,117,116,60.62,60.1,80,25,3,2,,,4,2,,,,,,,115,59.59,29,,3,1,4,78,Falu
Boba,565,456,448,80.71,79.29,304,104,10,5,,1,24,,,,,,,,448,79.29,110,2,10,3,29,294,Falu
Bocfölde,648,511,506,78.86,78.09,358,95,,7,,,46,,,,,,,,506,78.09,87,10,18,2,33,356,Falu
Boconád,919,684,678,74.43,73.78,429,164,16,21,,4,37,7,,,,,,,674,73.34,159,7,21,26,47,414,Falu
Bócsa,1046,674,665,64.44,63.58,394,196,,19,1,,55,,,,,,,,665,63.58,200,5,15,9,53,383,Falu
Bocska,2028,1327,1303,65.43,64.25,809,377,,18,5,12,,82,,,,,,,1313,64.74,362,9,18,11,128,783,Falu
Bocskaikert,1417,961,935,67.82,65.98,609,185,34,23,,,84,,,,,,,,944,66.62,186,5,30,26,98,599,Falu
Boda,234,144,141,61.54,60.26,96,26,3,3,2,,11,,,,,,,,143,61.11,29,1,3,2,11,97,Falu
Bodajk,2995,2097,2069,70.02,69.08,1194,634,,38,5,18,167,,,,,,13,,2072,69.18,625,14,70,34,163,1166,Falu
Bodmér,327,239,234,73.09,71.56,144,56,9,1,,,17,7,,,,,,,237,72.48,66,2,8,1,20,140,Falu
Bodolyabér,3129,2300,2276,73.51,72.74,1256,656,71,12,11,20,250,,,,,,,,2283,72.96,650,23,63,19,248,1276,Falu
Bodonhely,205,166,166,80.98,80.98,93,56,2,1,,,14,,,,,,,,166,80.98,60,2,2,1,13,88,Falu
Bodony,174,102,102,58.62,58.62,69,25,2,1,,,5,,,,,,,,101,58.05,25,,2,1,4,69,Falu
Bodorfa,265,198,197,74.72,74.34,151,21,,5,,,20,,,,,,,,197,74.34,27,2,3,5,25,135,Falu
Bodrog,566,407,402,71.91,71.02,263,109,,1,,,23,6,,,,,,,401,70.85,96,3,9,1,27,265,Falu
Bodroghalom,75,51,51,68,68,32,15,1,2,,,,1,,,,,,,51,68,10,,,1,4,36,Falu
Bodrogkeresztúr,280,199,197,71.07,70.36,123,54,,4,,,16,,,,,,,,197,70.36,46,1,5,3,16,126,Falu
Bodrogkisfalud,962,486,481,50.52,50,269,181,4,2,,2,18,5,,,,,,,483,50.21,177,2,3,2,19,280,Falu
Bodrogolaszi,801,602,595,75.16,74.28,378,193,,7,6,1,,10,,,,,,,594,74.16,180,3,11,10,30,360,Falu
Bódvalenke,678,485,477,71.53,70.35,299,166,,4,5,1,,2,,,,,,,478,70.5,144,3,17,4,42,267,Falu
Bódvarákó,683,436,427,63.84,62.52,237,144,9,1,,3,29,4,,,,,,,429,62.81,134,3,6,1,30,253,Falu
Bódvaszilas,173,111,111,64.16,64.16,111,,,,,,,,,,,,,,111,64.16,,,,,,111,Falu
Bogács,70,47,45,67.14,64.29,38,3,,1,,1,2,,,,,,,,43,61.43,3,1,,,3,34,Falu
Bogád,757,507,495,66.97,65.39,324,112,2,5,,,24,28,,,,,,,500,66.05,128,,8,5,27,326,Falu
Bogádmindszent,1570,1087,1066,69.24,67.9,644,282,20,14,2,8,83,13,,,,,,,1070,68.15,328,9,15,13,97,607,Falu
Bogdása,877,598,598,68.19,68.19,297,215,35,9,5,3,27,7,,,,,,,597,68.07,221,2,36,4,33,298,Falu
Bogyiszló,330,216,209,65.45,63.33,135,40,6,,,,23,5,,,,,,,210,63.64,40,1,7,,18,144,Falu
Bogyoszló,202,124,122,61.39,60.4,97,12,2,,,,10,1,,,,,,,122,60.4,14,,4,,9,95,Falu
Bojt,1698,1076,1051,63.37,61.9,761,219,17,12,,,42,,,,,,,,1062,62.54,205,8,14,13,47,775,Falu
Bókaháza,514,369,361,71.79,70.23,254,89,,1,,,15,,,,,2,,,364,70.82,90,2,10,5,15,242,Falu
Bokod,430,240,237,55.81,55.12,187,31,,1,,,11,7,,,,,,,234,54.42,30,,,1,12,191,Falu
Bokor,211,158,152,74.88,72.04,117,22,1,,,1,11,,,,,,,,152,72.04,22,1,2,4,8,115,Falu
Boldog,1725,1219,1214,70.67,70.38,698,383,24,8,,11,90,,,,,,,,1213,70.32,383,10,31,11,132,645,Falu
Boldogasszonyfa,84,63,63,75,75,36,22,,,,,5,,,,,,,,63,75,22,,,,6,35,Falu
Boldogkőújfalu,2353,1626,1598,69.1,67.91,1078,318,,19,11,,172,,,,,,,,1612,68.51,339,12,35,9,141,1076,Falu
Boldogkőváralja,299,220,212,73.58,70.9,154,34,2,1,,,16,5,,,,,,,212,70.9,31,,2,1,18,155,Falu
Boldva,397,214,206,53.9,51.89,186,15,,3,,,2,,,,,,,,208,52.39,15,,,1,5,187,Falu
Bolhás,719,467,458,64.95,63.7,271,149,7,3,2,1,17,8,,,,,,,462,64.26,146,5,10,6,21,274,Falu
Bolhó,1792,1006,987,56.14,55.08,569,307,21,6,1,7,72,,,3,1,,,,992,55.36,300,8,22,6,77,579,Falu
Bóly,321,236,230,73.52,71.65,166,61,,1,,,2,,,,,,,,233,72.59,41,4,,,13,175,Falu
Boncodfölde,551,295,292,53.54,52.99,217,64,,2,,,9,,,,,,,,293,53.18,51,2,2,1,11,200,Falu
Bonyhád,2728,1969,1948,72.18,71.41,1122,645,,35,7,,139,,,,,,,,1953,71.59,584,11,55,18,116,930,Falu
Bonyhádvarasd,275,221,218,80.36,79.27,125,64,4,1,,4,18,2,,,,,,,219,79.64,65,3,2,2,19,128,Falu
Bonnya,1755,1180,1153,67.24,65.7,747,312,,14,,5,75,,,,,,,,1158,65.98,310,5,32,11,87,712,Falu
Bordány,10054,7271,7169,72.32,71.3,4587,2016,,55,,167,344,,,,,,,,7144,71.06,2017,69,179,71,452,3964,Kisváros
Borgáta,368,254,252,69.02,68.48,177,50,,4,,4,17,,,,,,,,253,68.75,41,6,2,1,12,145,Falu
Borjád,201,126,125,62.69,62.19,104,17,,,1,3,,,,,,,,,122,60.7,17,2,1,,5,81,Falu
Borota,2602,1749,1718,67.22,66.03,980,465,33,24,,13,203,,,,,,,,1738,66.79,485,16,48,23,174,992,Falu
Borsfa,128,88,88,68.75,68.75,51,25,,4,,,8,,,,,,,,88,68.75,26,,2,2,6,52,Falu
Borsodbóta,316,203,202,64.24,63.92,138,34,,2,,,28,,,,,,,,200,63.29,27,1,2,,23,111,Falu
Borsodgeszt,995,599,592,60.2,59.5,383,142,,3,,,64,,,,,,,,593,59.6,148,5,17,7,65,351,Falu
Borsodivánka,553,350,344,63.29,62.21,229,84,3,4,1,4,19,,,,,,,,344,62.21,86,1,3,,27,227,Falu
Borsodnádasd,596,327,313,54.87,52.52,179,95,6,2,2,,19,10,,,,,,,318,53.36,101,1,4,1,23,188,Falu
Borsodszentgyörgy,231,170,169,73.59,73.16,122,30,6,,,,10,1,,,,,,,168,72.73,39,2,6,1,11,109,Falu
Borsodszirák,416,312,299,75,71.88,174,79,8,3,4,5,21,5,,,,,,,297,71.39,89,8,9,6,20,165,Falu
Borsosberény,2289,1270,1253,55.48,54.74,760,332,17,9,6,2,98,29,,,,,,,1252,54.7,350,4,16,9,90,783,Falu
Borszörcsök,911,576,567,63.23,62.24,354,130,9,4,1,2,50,17,,,,,,,561,61.58,130,4,9,5,65,347,Falu
Borzavár,905,557,548,61.55,60.55,399,106,3,6,1,1,30,,,,2,,,,550,60.77,104,1,5,5,33,402,Falu
Bosta,764,479,466,62.7,60.99,267,116,12,8,3,2,58,,,,,,,,467,61.13,123,2,13,7,44,278,Falu
Botpalád,295,200,196,67.8,66.44,157,19,3,,,,17,,,,,,,,198,67.12,20,,3,,18,157,Falu
Botykapeterd,603,438,434,72.64,71.97,252,119,14,10,,,39,,,,,,,,437,72.47,117,5,15,7,40,253,Falu
Bozzai,1692,1304,1290,77.07,76.24,982,226,,21,,,56,,,,,5,,,1297,76.65,252,3,18,17,65,941,Falu
Bozsok,113,75,74,66.37,65.49,53,13,2,5,,,1,,,,,,,,74,65.49,12,1,2,3,1,55,Falu
Bózsva,392,231,228,58.93,58.16,146,48,4,2,,,13,15,,,,,,,226,57.65,54,5,3,4,14,146,Falu
Bő,623,345,337,55.38,54.09,250,77,,1,,,9,,,,,,,,342,54.9,66,1,1,1,12,261,Falu
Bőcs,250,158,153,63.2,61.2,108,18,9,2,,,15,1,,,,,,,157,62.8,23,1,7,2,15,109,Falu
Böde,237,173,167,73,70.46,132,21,1,3,,2,8,,,,,,,,165,69.62,25,1,2,3,13,121,Falu
Bödeháza,289,238,234,82.35,80.97,161,48,5,1,,3,16,,,,,,,,235,81.31,55,3,7,1,15,154,Falu
Bögöt,140,102,100,72.86,71.43,65,27,1,,,,6,1,,,,,,,102,72.86,25,2,1,,10,64,Falu
Bögöte,217,158,158,72.81,72.81,117,23,3,3,,3,8,1,,,,,,,158,72.81,21,2,6,2,18,109,Falu
Böhönye,34,32,32,94.12,94.12,27,,,,,,5,,,,,,,,32,94.12,,,,,6,26,Falu
Bököny,295,238,238,80.68,80.68,194,29,1,1,,1,12,,,,,,,,238,80.68,31,1,,1,12,193,Falu
Bölcske,249,202,199,81.12,79.92,125,62,,3,,,9,,,,,,,,201,80.72,48,2,10,3,8,130,Falu
Bőny,1738,1039,1018,59.78,58.57,619,344,,2,,,53,,,,,,,,1031,59.32,266,2,16,4,65,678,Falu
Börcs,2373,1387,1353,58.45,57.02,1146,142,13,3,,4,45,,,,,,,,1366,57.56,149,2,7,3,38,1167,Falu
Börzönce,2119,1446,1429,68.24,67.44,976,325,,22,,21,85,,,,,,,,1438,67.86,314,14,29,15,87,979,Falu
Bősárkány,1060,751,746,70.85,70.38,414,241,20,7,,17,47,,,,,,,,743,70.09,247,11,22,11,48,404,Falu
Bőszénfa,43,30,30,69.77,69.77,16,9,,,,2,3,,,,,,,,30,69.77,9,2,,,2,17,Falu
Bucsa,1708,1053,1036,61.65,60.66,765,198,17,2,,6,48,,,,,,,,1045,61.18,197,9,17,2,44,776,Falu
Bucsu,477,386,376,80.92,78.83,283,63,4,3,2,7,14,,,,,,,,378,79.25,51,7,5,2,14,297,Falu
Búcsúszentlászló,560,443,442,79.11,78.93,276,110,11,,,3,42,,,,,,,,442,78.93,110,2,10,4,44,272,Falu
Bucsuta,165,106,102,64.24,61.82,76,12,5,,3,2,4,,,,,,,,104,63.03,15,2,3,,7,77,Falu
Budajenő,1619,1342,1330,82.89,82.15,698,547,30,17,,5,33,,,,,,,,1330,82.15,502,5,57,17,58,640,Falu
Budakalász,8847,7132,7065,80.61,79.86,3483,2715,325,88,26,47,381,,,,,,,,7067,79.88,2745,43,383,88,395,3333,Kisváros
Budakeszi,14699,12347,12207,84,83.05,5266,6054,419,72,,54,342,,,,,,,,12223,83.16,5570,55,783,84,448,5048,Középváros
Budaörs,21800,17265,17123,79.2,78.55,6810,8797,520,269,,61,666,,,,,,,,17042,78.17,8196,62,770,251,749,6566,Középváros
Budapest I. kerület,18683,14638,14485,78.35,77.53,6556,6708,653,166,18,54,330,,,,,,,,14438,77.28,6541,43,927,139,357,6406,Budapest
Budapest II. kerület,64218,52438,51945,81.66,80.89,21242,26737,2069,479,,132,1083,203,,,,,,,51908,80.83,25848,154,3048,433,1288,21013,Budapest
Budapest III. kerület,96706,75757,74974,78.34,77.53,30659,37051,2835,1109,,399,2556,,365,,,,,,75066,77.62,36642,405,4008,993,2996,29902,Budapest
Budapest IV. kerület,75046,56280,55706,74.99,74.23,22526,27397,1993,924,19,276,2571,,,,,,,,55843,74.41,27250,347,2680,874,2597,22021,Budapest
Budapest IX. kerület,38063,26637,26329,69.98,69.17,10159,13455,1196,120,16,141,1242,,,,,,,,26398,69.35,13054,127,1575,270,1065,10256,Budapest
Budapest V. kerület,20518,15936,15781,77.67,76.91,6868,7577,601,206,40,67,422,,,,,,,,15819,77.1,7481,59,908,184,448,6699,Budapest
Budapest VI. kerület,22282,15273,15100,68.54,67.77,5726,7801,776,240,,,557,,,,,,,,15117,67.84,7528,71,927,186,541,5825,Budapest
Budapest VII. kerület,36630,25223,24913,68.86,68.01,9393,12760,1452,398,,,910,,,,,,,,24912,68.01,12381,113,1596,333,877,9564,Budapest
Budapest VIII. kerület,50928,33129,32761,65.05,64.33,14122,15500,1458,51,5,231,1394,,,,,,,,32814,64.43,15170,199,2002,300,1271,13804,Budapest
Budapest X. kerület,54100,37970,37497,70.18,69.31,16057,17257,1439,743,129,214,1658,,,,,,,,37640,69.57,17326,250,1728,530,1721,16019,Budapest
Budapest XI. kerület,99194,79271,78456,79.92,79.09,31813,40364,2502,753,106,331,2587,,,,,,,,78481,79.12,38470,304,4295,791,2671,31756,Budapest
Budapest XII. kerület,44428,36923,36540,83.11,82.25,15379,17579,2041,259,,,805,477,,,,,,,36567,82.31,17517,81,2653,298,944,15008,Budapest
Budapest XIII. kerület,89395,66433,65747,74.31,73.55,20115,39580,2727,812,,310,2203,,,,,,,,65791,73.6,36714,323,3481,882,2315,21942,Budapest
Budapest XIV. kerület,87339,66530,65798,76.17,75.34,24233,35350,2300,916,195,292,2400,112,,,,,,,65974,75.54,34018,337,3612,797,2526,24568,Budapest
Budapest XIX. kerület,43304,31592,31205,72.95,72.06,12869,14728,1356,580,91,199,1382,,,,,,,,31238,72.14,14533,197,1550,399,1445,13057,Budapest
Budapest XV. kerület,61150,44593,44131,72.92,72.17,18727,19863,1956,970,142,301,2172,,,,,,,,44194,72.27,19835,287,2024,671,2232,19092,Budapest
Budapest XVI. kerület,56427,45713,45135,81.01,79.99,20752,19889,1395,510,302,192,1541,554,,,,,,,45189,80.08,20590,205,2106,677,1884,19628,Budapest
Budapest XVII. kerület,68813,52959,52437,76.96,76.2,23504,23016,2028,812,117,313,2647,,,,,,,,52522,76.33,23189,333,2303,788,2679,23148,Budapest
Budapest XVIII. kerület,78154,58809,58179,75.25,74.44,25166,25946,1860,679,,291,2559,1678,,,,,,,58215,74.49,25936,386,2418,792,2973,25479,Budapest
Budapest XX. kerület,49756,34857,34426,70.06,69.19,14846,15578,1345,469,108,272,1808,,,,,,,,34486,69.31,15109,250,1519,495,1823,15154,Budapest
Budapest XXI. kerület,57196,41210,40642,72.05,71.06,16761,19176,1377,686,202,217,2223,,,,,,,,40790,71.32,18569,269,1777,561,2268,17257,Budapest
Budapest XXII. kerület,44751,35380,34983,79.06,78.17,15171,16481,1124,318,39,253,1597,,,,,,,,35080,78.39,16009,194,1745,388,1497,15159,Budapest
Budapest XXIII. kerület,17260,12405,12264,71.87,71.05,5294,5419,410,219,36,74,812,,,,,,,,12257,71.01,5130,82,482,153,685,5553,Budapest
Bugac,2138,1434,1415,67.07,66.18,1002,269,31,15,,,98,,,,,,,,1420,66.42,286,16,29,10,116,963,Falu
Bugacpusztaháza,204,141,135,69.12,66.18,109,12,4,5,,,5,,,,,,,,137,67.16,18,,4,2,5,108,Falu
Bugyi,4153,2804,2758,67.52,66.41,1833,607,48,46,7,17,200,,,,,,,,2777,66.87,615,21,54,30,216,1837,Kisváros
Buj,1768,1071,1051,60.58,59.45,668,286,,11,,20,54,12,,,,,,,1057,59.79,271,10,33,17,50,676,Falu
Buják,1628,1074,1064,65.97,65.36,746,222,19,14,4,9,50,,,,,,,,1071,65.79,199,8,15,15,59,773,Falu
Buzsák,974,660,650,67.76,66.74,366,220,,5,,,59,,,,,,,,650,66.74,211,5,6,5,57,366,Falu
Bük,2672,1835,1813,68.68,67.85,1149,484,54,21,,7,98,,,,,,,,1817,68,488,10,76,20,109,1114,Falu
Bükkábrány,1321,983,964,74.41,72.98,605,203,24,18,,1,108,5,,,,,,,974,73.73,254,3,20,7,89,601,Falu
Bükkaranyos,1214,784,757,64.58,62.36,456,207,23,15,,,53,3,,,,,,,775,63.84,225,6,29,22,58,435,Falu
Bükkmogyorósd,106,73,71,68.87,66.98,35,28,2,,,,5,1,,,,,,,73,68.87,25,2,2,1,8,35,Falu
Bükkösd,865,490,483,56.65,55.84,306,127,15,3,,,26,6,,,,,,,482,55.72,115,4,14,1,31,283,Falu
Bükkszék,588,434,429,73.81,72.96,238,162,,3,,,21,5,,,,,,,431,73.3,153,5,6,2,28,237,Falu
Bükkszenterzsébet,787,513,503,65.18,63.91,337,132,,3,,,25,6,,,,,,,505,64.17,112,5,6,3,31,348,Falu
Bükkszentkereszt,910,646,625,70.99,68.68,370,178,24,2,1,,48,2,,,,,,,633,69.56,185,2,32,2,54,350,Falu
Bükkszentmárton,216,133,133,61.57,61.57,86,33,,,,,10,4,,,,,,,131,60.65,33,2,3,1,4,88,Falu
Bükkzsérc,827,579,568,70.01,68.68,365,115,13,3,,3,65,4,,,,,,,574,69.41,138,3,15,3,79,336,Falu
Bürüs,63,39,38,61.9,60.32,29,6,,,,,2,1,,,,,,,39,61.9,6,,,1,2,30,Falu
Büssü,190,118,116,62.11,61.05,96,18,,,,2,,,,,,,,,116,61.05,18,1,1,1,1,94,Falu
Büttös,138,96,93,69.57,67.39,78,10,,,,,5,,,,,,,,94,68.12,10,,,1,6,77,Falu
Büttös,138,96,93,69.57,67.39,78,10,,,,,5,,,,,,,,94,68.12,10,,,1,6,77,Falu
Cák,227,179,177,78.85,77.97,113,28,6,2,,1,27,,,,,,,,176,77.53,30,3,8,1,27,107,Falu
Cakóháza,38,34,34,89.47,89.47,28,2,,,,,4,,,,,,,,34,89.47,4,,,,2,28,Falu
Cece,2025,1345,1324,66.42,65.38,1032,199,14,5,,12,62,,,,,,,,1330,65.68,199,9,22,5,75,1020,Falu
Cégénydányád,522,362,357,69.35,68.39,246,83,,2,,3,23,,,,,,,,359,68.77,74,,3,3,21,258,Falu
Cegléd,29802,20453,20191,68.63,67.75,10916,6557,628,231,,237,1622,,,,,,,,20251,67.95,6714,203,654,201,1431,11043,Középváros
Ceglédbercel,3538,2383,2321,67.35,65.6,1380,672,71,18,,,180,,,,,,,,2330,65.86,674,16,60,23,153,1291,Falu
Celldömölk,8274,6007,5944,72.6,71.84,3800,1570,108,46,,38,382,,,,,,,,5933,71.71,1656,60,132,39,390,3656,Kisváros
Cered,832,507,499,60.94,59.98,297,145,12,5,7,4,29,,,,,,,,505,60.7,142,1,8,4,38,312,Falu
Chernelházadamonya,152,113,112,74.34,73.68,80,23,2,1,,,6,,,,,,,,111,73.03,23,1,1,,6,80,Falu
Cibakháza,2999,1600,1574,53.35,52.48,942,479,42,,6,11,94,,,,,,,,1580,52.68,438,12,46,11,93,980,Falu
Cigánd,2244,1080,1054,48.13,46.97,686,279,16,4,3,6,46,14,,,,,,,1068,47.59,271,11,13,8,50,715,Falu
Cikó,743,524,517,70.52,69.58,369,90,,4,,27,27,,,,,,,,515,69.31,95,16,7,5,32,345,Falu
Cirák,421,329,327,78.15,77.67,270,41,,2,,,14,,,,,,,,325,77.2,36,2,2,3,17,265,Falu
Cún,165,94,93,56.97,56.36,82,7,,,,,4,,,,,,,,93,56.36,7,,,,4,82,Falu
Csabacsűd,1390,953,943,68.56,67.84,566,248,25,12,,13,79,,,,,,,,943,67.84,249,15,33,9,93,541,Falu
Csabaszabadi,225,175,168,77.78,74.67,112,39,2,,,2,12,1,,,,,,,174,77.33,38,3,4,1,15,112,Falu
Csabdi,980,766,753,78.16,76.84,509,149,36,8,2,,49,,,,,,,,756,77.14,159,4,41,9,58,485,Falu
Csabrendek,2306,1457,1436,63.18,62.27,811,559,26,14,,,,26,,,,,,,1445,62.66,390,11,39,8,152,845,Falu
Csáfordjánosfa,170,132,127,77.65,74.71,89,26,,4,,,8,,,,,,,,130,76.47,32,,3,,13,82,Falu
Csaholc,432,274,273,63.43,63.19,220,50,,1,,1,1,,,,,,,,273,63.19,41,,2,1,2,227,Falu
Csajág,665,443,436,66.62,65.56,272,115,10,5,,2,32,,,,,,,,439,66.02,113,3,13,7,39,264,Falu
Csákány,193,97,95,50.26,49.22,69,21,,,,,5,,,,,,,,93,48.19,14,1,,,6,72,Falu
Csákánydoroszló,1216,884,869,72.7,71.46,592,240,,4,,,33,,,,,,,,871,71.63,228,7,16,5,37,578,Falu
Csákberény,929,725,713,78.04,76.75,490,129,23,1,,7,63,,,,,,,,713,76.75,125,7,25,1,73,481,Falu
Csákvár,4300,3050,3006,70.93,69.91,1891,776,86,28,12,,213,,,,,,,,3001,69.79,767,25,99,26,236,1842,Kisváros
Csanádalberti,348,225,225,64.66,64.66,157,53,6,2,,,7,,,,,,,,225,64.66,56,,7,2,10,150,Falu
Csanádapáca,1994,1187,1174,59.53,58.88,627,424,10,3,7,5,90,8,,,,,,,1179,59.13,370,10,17,9,116,657,Falu
